subject_slug,topic_id,question_count,difficulty_mix,source_layers,source_files
igcse-accounting-0452,2.6,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/2-6-items.md;qa-question-level/2-6-petty-cash-book-q-2.6-01.md;qa-question-level/2-6-petty-cash-book-q-2.6-02.md;qa-question-level/2-6-petty-cash-book-q-2.6-03.md;qa-question-level/2-6-petty-cash-book-q-2.6-04.md;qa-question-level/2-6-petty-cash-book-q-2.6-05.md;qa-question-level/2-6-petty-cash-book-q-2.6-06.md;qa-question-level/2-6-petty-cash-book-q-2.6-07.md;qa-question-level/2-6-petty-cash-book-q-2.6-08.md;qa-question-level/2-6-petty-cash-book-q-2.6-09.md;qa/2-6-petty-cash-book.md
igcse-accounting-0452,3.1,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/3-1-items.md;qa-question-level/3-1-trial-balance-q-3.1-01.md;qa-question-level/3-1-trial-balance-q-3.1-02.md;qa-question-level/3-1-trial-balance-q-3.1-03.md;qa-question-level/3-1-trial-balance-q-3.1-04.md;qa-question-level/3-1-trial-balance-q-3.1-05.md;qa-question-level/3-1-trial-balance-q-3.1-06.md;qa-question-level/3-1-trial-balance-q-3.1-07.md;qa-question-level/3-1-trial-balance-q-3.1-08.md;qa-question-level/3-1-trial-balance-q-3.1-09.md;qa/3-1-trial-balance.md
igcse-accounting-0452,3.2,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/3-2-items.md;qa-question-level/3-2-types-of-errors-q-3.2-01.md;qa-question-level/3-2-types-of-errors-q-3.2-02.md;qa-question-level/3-2-types-of-errors-q-3.2-03.md;qa-question-level/3-2-types-of-errors-q-3.2-04.md;qa-question-level/3-2-types-of-errors-q-3.2-05.md;qa-question-level/3-2-types-of-errors-q-3.2-06.md;qa-question-level/3-2-types-of-errors-q-3.2-07.md;qa-question-level/3-2-types-of-errors-q-3.2-08.md;qa-question-level/3-2-types-of-errors-q-3.2-09.md;qa/3-2-types-of-errors.md
igcse-accounting-0452,3.3,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/3-3-items.md;qa-question-level/3-3-correction-of-errors-q-3.3-01.md;qa-question-level/3-3-correction-of-errors-q-3.3-02.md;qa-question-level/3-3-correction-of-errors-q-3.3-03.md;qa-question-level/3-3-correction-of-errors-q-3.3-04.md;qa-question-level/3-3-correction-of-errors-q-3.3-05.md;qa-question-level/3-3-correction-of-errors-q-3.3-06.md;qa-question-level/3-3-correction-of-errors-q-3.3-07.md;qa-question-level/3-3-correction-of-errors-q-3.3-08.md;qa-question-level/3-3-correction-of-errors-q-3.3-09.md;qa/3-3-correction-of-errors.md
igcse-accounting-0452,3.4,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/3-4-items.md;qa-question-level/3-4-bank-reconciliation-q-3.4-01.md;qa-question-level/3-4-bank-reconciliation-q-3.4-02.md;qa-question-level/3-4-bank-reconciliation-q-3.4-03.md;qa-question-level/3-4-bank-reconciliation-q-3.4-04.md;qa-question-level/3-4-bank-reconciliation-q-3.4-05.md;qa-question-level/3-4-bank-reconciliation-q-3.4-06.md;qa-question-level/3-4-bank-reconciliation-q-3.4-07.md;qa-question-level/3-4-bank-reconciliation-q-3.4-08.md;qa-question-level/3-4-bank-reconciliation-q-3.4-09.md;qa/3-4-bank-reconciliation.md
igcse-accounting-0452,4.1,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/4-1-items.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-01.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-02.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-03.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-04.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-05.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-06.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-07.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-08.md;qa-question-level/4-1-depreciation-straight-line-q-4.1-09.md;qa/4-1-depreciation-straight-line.md
igcse-accounting-0452,4.2,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/4-2-items.md;qa-question-level/4-2-reducing-balance-q-4.2-01.md;qa-question-level/4-2-reducing-balance-q-4.2-02.md;qa-question-level/4-2-reducing-balance-q-4.2-03.md;qa-question-level/4-2-reducing-balance-q-4.2-04.md;qa-question-level/4-2-reducing-balance-q-4.2-05.md;qa-question-level/4-2-reducing-balance-q-4.2-06.md;qa-question-level/4-2-reducing-balance-q-4.2-07.md;qa-question-level/4-2-reducing-balance-q-4.2-08.md;qa-question-level/4-2-reducing-balance-q-4.2-09.md;qa/4-2-depreciation-reducing-balance.md
igcse-accounting-0452,4.3,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/4-3-items.md;qa-question-level/4-3-disposal-q-4.3-01.md;qa-question-level/4-3-disposal-q-4.3-02.md;qa-question-level/4-3-disposal-q-4.3-03.md;qa-question-level/4-3-disposal-q-4.3-04.md;qa-question-level/4-3-disposal-q-4.3-05.md;qa-question-level/4-3-disposal-q-4.3-06.md;qa-question-level/4-3-disposal-q-4.3-07.md;qa-question-level/4-3-disposal-q-4.3-08.md;qa-question-level/4-3-disposal-q-4.3-09.md;qa/4-3-asset-disposal.md
igcse-accounting-0452,4.4,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/4-4-items.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-01.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-02.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-03.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-04.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-05.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-06.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-07.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-08.md;qa-question-level/4-4-irrecoverable-debts-q-4.4-09.md;qa/4-4-bad-debts-allowances.md
igcse-accounting-0452,4.5,19,C:2|F:7|S:10,"items,qa,qa-question-level",items/4-5-items.md;qa-question-level/4-5-accruals-prepayments-q-4.5-01.md;qa-question-level/4-5-accruals-prepayments-q-4.5-02.md;qa-question-level/4-5-accruals-prepayments-q-4.5-03.md;qa-question-level/4-5-accruals-prepayments-q-4.5-04.md;qa-question-level/4-5-accruals-prepayments-q-4.5-05.md;qa-question-level/4-5-accruals-prepayments-q-4.5-06.md;qa-question-level/4-5-accruals-prepayments-q-4.5-07.md;qa-question-level/4-5-accruals-prepayments-q-4.5-08.md;qa-question-level/4-5-accruals-prepayments-q-4.5-09.md;qa/4-5-accruals-prepayments-inventory.md
